Year,Anomaly,Region,dt
1965,-0.21,Hawaiian Region,1965-06-01
1966,0.29,Hawaiian Region,1966-06-01
1967,0.83,Hawaiian Region,1967-06-01
1968,1.09,Hawaiian Region,1968-06-01
1969,0.75,Hawaiian Region,1969-06-01
1970,-0.01,Hawaiian Region,1970-06-01
1971,-0.51,Hawaiian Region,1971-06-01
1972,-0.11,Hawaiian Region,1972-06-01
1973,-0.75,Hawaiian Region,1973-06-01
1974,-0.1,Hawaiian Region,1974-06-01
1975,-0.86,Hawaiian Region,1975-06-01
1976,-0.61,Hawaiian Region,1976-06-01
1977,-0.42,Hawaiian Region,1977-06-01
1978,0.09,Hawaiian Region,1978-06-01
1979,-0.09,Hawaiian Region,1979-06-01
1980,0.13,Hawaiian Region,1980-06-01
1981,0.37,Hawaiian Region,1981-06-01
1982,0.77,Hawaiian Region,1982-06-01
1983,-0.15,Hawaiian Region,1983-06-01
1984,0.15,Hawaiian Region,1984-06-01
1985,-0.26,Hawaiian Region,1985-06-01
1986,0.52,Hawaiian Region,1986-06-01
1987,0.09,Hawaiian Region,1987-06-01
1988,0.1,Hawaiian Region,1988-06-01
1989,0.44,Hawaiian Region,1989-06-01
1990,0.06,Hawaiian Region,1990-06-01
1991,-0.02,Hawaiian Region,1991-06-01
1992,0.7,Hawaiian Region,1992-06-01
1993,0.29,Hawaiian Region,1993-06-01
1994,0.11,Hawaiian Region,1994-06-01
1995,0.35,Hawaiian Region,1995-06-01
1996,0.99,Hawaiian Region,1996-06-01
1997,0.52,Hawaiian Region,1997-06-01
1998,-0.58,Hawaiian Region,1998-06-01
1999,-0.82,Hawaiian Region,1999-06-01
2000,-0.02,Hawaiian Region,2000-06-01
2001,-0.21,Hawaiian Region,2001-06-01
2002,0.39,Hawaiian Region,2002-06-01
2003,0.32,Hawaiian Region,2003-06-01
2004,0.59,Hawaiian Region,2004-06-01
2005,0.36,Hawaiian Region,2005-06-01
2006,0.2,Hawaiian Region,2006-06-01
2007,0.23,Hawaiian Region,2007-06-01
2008,-0.06,Hawaiian Region,2008-06-01
2009,0.55,Hawaiian Region,2009-06-01
2010,-0.32,Hawaiian Region,2010-06-01
2011,-0.2,Hawaiian Region,2011-06-01
2012,-0.5,Hawaiian Region,2012-06-01
2013,0.13,Hawaiian Region,2013-06-01
2014,0.58,Hawaiian Region,2014-06-01
2015,1.14,Hawaiian Region,2015-06-01
2016,1.01,Hawaiian Region,2016-06-01
2017,0.78,Hawaiian Region,2017-06-01
2018,0.65,Hawaiian Region,2018-06-01
2019,1.32,Hawaiian Region,2019-06-01
2020,0.44,Hawaiian Region,2020-06-01
2021,0.21,Hawaiian Region,2021-06-01
2022,0.29,Hawaiian Region,2022-06-01
2023,0.43,Hawaiian Region,2023-06-01
1910,0.2,Europe,1910-06-01
1911,-0.91,Europe,1911-06-01
1912,-0.02,Europe,1912-06-01
1913,-0.76,Europe,1913-06-01
1914,-0.52,Europe,1914-06-01
1915,-0.12,Europe,1915-06-01
1916,-0.61,Europe,1916-06-01
1917,0.84,Europe,1917-06-01
1918,-1.3,Europe,1918-06-01
1919,-0.34,Europe,1919-06-01
1920,-0.38,Europe,1920-06-01
1921,-0.58,Europe,1921-06-01
1922,0.11,Europe,1922-06-01
1923,-2.16,Europe,1923-06-01
1924,0.04,Europe,1924-06-01
1925,-0.9,Europe,1925-06-01
1926,-0.72,Europe,1926-06-01
1927,-0.04,Europe,1927-06-01
1928,-1.18,Europe,1928-06-01
1929,-0.74,Europe,1929-06-01
1930,0.49,Europe,1930-06-01
1931,0.06,Europe,1931-06-01
1932,-0.8,Europe,1932-06-01
1933,-0.93,Europe,1933-06-01
1934,0,Europe,1934-06-01
1935,0.74,Europe,1935-06-01
1936,0.26,Europe,1936-06-01
1937,0.68,Europe,1937-06-01
1938,0.38,Europe,1938-06-01
1939,0.12,Europe,1939-06-01
1940,-0.01,Europe,1940-06-01
1941,-0.59,Europe,1941-06-01
1942,-0.19,Europe,1942-06-01
1943,-0.13,Europe,1943-06-01
1944,-0.52,Europe,1944-06-01
1945,0.38,Europe,1945-06-01
1946,0.36,Europe,1946-06-01
1947,1.24,Europe,1947-06-01
1948,0.01,Europe,1948-06-01
1949,-0.61,Europe,1949-06-01
1950,0.63,Europe,1950-06-01
1951,-0.12,Europe,1951-06-01
1952,-0.12,Europe,1952-06-01
1953,0.87,Europe,1953-06-01
1954,0.81,Europe,1954-06-01
1955,-0.54,Europe,1955-06-01
1956,-0.26,Europe,1956-06-01
1957,0.25,Europe,1957-06-01
1958,-0.71,Europe,1958-06-01
1959,0.13,Europe,1959-06-01
1960,0.84,Europe,1960-06-01
1961,0.99,Europe,1961-06-01
1962,-0.8,Europe,1962-06-01
1963,0.08,Europe,1963-06-01
1964,1.08,Europe,1964-06-01
1965,0.18,Europe,1965-06-01
1966,0.55,Europe,1966-06-01
1967,-0.58,Europe,1967-06-01
1968,0.56,Europe,1968-06-01
1969,-0.09,Europe,1969-06-01
1970,0.78,Europe,1970-06-01
1971,-0.58,Europe,1971-06-01
1972,0.31,Europe,1972-06-01
1973,0.23,Europe,1973-06-01
1974,-0.39,Europe,1974-06-01
1975,-0.14,Europe,1975-06-01
1976,-0.13,Europe,1976-06-01
1977,-0.37,Europe,1977-06-01
1978,-0.64,Europe,1978-06-01
1979,1.1,Europe,1979-06-01
1980,0.04,Europe,1980-06-01
1981,0.3,Europe,1981-06-01
1982,-0.08,Europe,1982-06-01
1983,-0.02,Europe,1983-06-01
1984,-0.67,Europe,1984-06-01
1985,-0.53,Europe,1985-06-01
1986,0.55,Europe,1986-06-01
1987,-0.39,Europe,1987-06-01
1988,0.36,Europe,1988-06-01
1989,0.29,Europe,1989-06-01
1990,0.2,Europe,1990-06-01
1991,-0.42,Europe,1991-06-01
1992,0.62,Europe,1992-06-01
1993,-0.15,Europe,1993-06-01
1994,-0.04,Europe,1994-06-01
1995,0.69,Europe,1995-06-01
1996,0.45,Europe,1996-06-01
1997,0.7,Europe,1997-06-01
1998,1.04,Europe,1998-06-01
1999,1.43,Europe,1999-06-01
2000,0.87,Europe,2000-06-01
2001,0.22,Europe,2001-06-01
2002,1.54,Europe,2002-06-01
2003,1.96,Europe,2003-06-01
2004,0.35,Europe,2004-06-01
2005,0.69,Europe,2005-06-01
2006,1.3,Europe,2006-06-01
2007,1.76,Europe,2007-06-01
2008,1.27,Europe,2008-06-01
2009,0.85,Europe,2009-06-01
2010,1.05,Europe,2010-06-01
2011,1.55,Europe,2011-06-01
2012,1.28,Europe,2012-06-01
2013,1.28,Europe,2013-06-01
2014,0.76,Europe,2014-06-01
2015,0.67,Europe,2015-06-01
2016,1.73,Europe,2016-06-01
2017,1.85,Europe,2017-06-01
2018,1.9,Europe,2018-06-01
2019,2.94,Europe,2019-06-01
2020,1.98,Europe,2020-06-01
2021,2.39,Europe,2021-06-01
2022,2.56,Europe,2022-06-01
2023,2.06,Europe,2023-06-01
1910,-0.44,Asia,1910-06-01
1911,-0.18,Asia,1911-06-01
1912,0.22,Asia,1912-06-01
1913,-0.8,Asia,1913-06-01
1914,-0.1,Asia,1914-06-01
1915,0.25,Asia,1915-06-01
1916,-0.64,Asia,1916-06-01
1917,-0.3,Asia,1917-06-01
1918,-0.58,Asia,1918-06-01
1919,-0.52,Asia,1919-06-01
1920,-0.1,Asia,1920-06-01
1921,0.11,Asia,1921-06-01
1922,0.09,Asia,1922-06-01
1923,0.01,Asia,1923-06-01
1924,-0.57,Asia,1924-06-01
1925,-0.62,Asia,1925-06-01
1926,-0.53,Asia,1926-06-01
1927,0.07,Asia,1927-06-01
1928,-0.42,Asia,1928-06-01
1929,-0.42,Asia,1929-06-01
1930,-0.33,Asia,1930-06-01
1931,0.23,Asia,1931-06-01
1932,-0.18,Asia,1932-06-01
1933,-0.73,Asia,1933-06-01
1934,-0.29,Asia,1934-06-01
1935,-0.19,Asia,1935-06-01
1936,-0.23,Asia,1936-06-01
1937,0.02,Asia,1937-06-01
1938,-0.38,Asia,1938-06-01
1939,0.43,Asia,1939-06-01
1940,0.11,Asia,1940-06-01
1941,0.31,Asia,1941-06-01
1942,0.28,Asia,1942-06-01
1943,-0.28,Asia,1943-06-01
1944,0.05,Asia,1944-06-01
1945,0.37,Asia,1945-06-01
1946,-0.25,Asia,1946-06-01
1947,-0.15,Asia,1947-06-01
1948,0.3,Asia,1948-06-01
1949,-0.34,Asia,1949-06-01
1950,-0.23,Asia,1950-06-01
1951,-0.21,Asia,1951-06-01
1952,0.03,Asia,1952-06-01
1953,0.51,Asia,1953-06-01
1954,0.13,Asia,1954-06-01
1955,0.25,Asia,1955-06-01
1956,-0.1,Asia,1956-06-01
1957,0.13,Asia,1957-06-01
1958,-0.29,Asia,1958-06-01
1959,0.23,Asia,1959-06-01
1960,0.3,Asia,1960-06-01
1961,-0.11,Asia,1961-06-01
1962,-0.37,Asia,1962-06-01
1963,-0.34,Asia,1963-06-01
1964,-0.23,Asia,1964-06-01
1965,-0.1,Asia,1965-06-01
1966,0.06,Asia,1966-06-01
1967,-0.08,Asia,1967-06-01
1968,-0.36,Asia,1968-06-01
1969,-0.36,Asia,1969-06-01
1970,-0.36,Asia,1970-06-01
1971,-0.2,Asia,1971-06-01
1972,-0.02,Asia,1972-06-01
1973,0.4,Asia,1973-06-01
1974,-0.3,Asia,1974-06-01
1975,0.35,Asia,1975-06-01
1976,-0.3,Asia,1976-06-01
1977,0.74,Asia,1977-06-01
1978,-0.07,Asia,1978-06-01
1979,0.09,Asia,1979-06-01
1980,0.18,Asia,1980-06-01
1981,0.58,Asia,1981-06-01
1982,-0.12,Asia,1982-06-01
1983,-0.08,Asia,1983-06-01
1984,0.2,Asia,1984-06-01
1985,0.12,Asia,1985-06-01
1986,0.26,Asia,1986-06-01
1987,-0.31,Asia,1987-06-01
1988,0.71,Asia,1988-06-01
1989,0.14,Asia,1989-06-01
1990,0.59,Asia,1990-06-01
1991,0.78,Asia,1991-06-01
1992,-0.42,Asia,1992-06-01
1993,0.25,Asia,1993-06-01
1994,0.78,Asia,1994-06-01
1995,0.74,Asia,1995-06-01
1996,0.18,Asia,1996-06-01
1997,0.52,Asia,1997-06-01
1998,1.06,Asia,1998-06-01
1999,0.33,Asia,1999-06-01
2000,1.02,Asia,2000-06-01
2001,1.02,Asia,2001-06-01
2002,0.92,Asia,2002-06-01
2003,0.47,Asia,2003-06-01
2004,0.61,Asia,2004-06-01
2005,1.27,Asia,2005-06-01
2006,1.37,Asia,2006-06-01
2007,0.8,Asia,2007-06-01
2008,1.01,Asia,2008-06-01
2009,0.8,Asia,2009-06-01
2010,1.48,Asia,2010-06-01
2011,1.46,Asia,2011-06-01
2012,1.87,Asia,2012-06-01
2013,1.05,Asia,2013-06-01
2014,1.08,Asia,2014-06-01
2015,1.42,Asia,2015-06-01
2016,1.42,Asia,2016-06-01
2017,1.23,Asia,2017-06-01
2018,1.44,Asia,2018-06-01
2019,1.43,Asia,2019-06-01
2020,1.29,Asia,2020-06-01
2021,1.66,Asia,2021-06-01
2022,1.83,Asia,2022-06-01
2023,1.48,Asia,2023-06-01
1910,-0.34,North America,1910-06-01
1911,0.35,North America,1911-06-01
1912,-0.68,North America,1912-06-01
1913,-0.26,North America,1913-06-01
1914,-0.5,North America,1914-06-01
1915,-0.86,North America,1915-06-01
1916,-0.59,North America,1916-06-01
1917,-1.05,North America,1917-06-01
1918,-0.63,North America,1918-06-01
1919,-0.22,North America,1919-06-01
1920,-0.71,North America,1920-06-01
1921,0.64,North America,1921-06-01
1922,-0.37,North America,1922-06-01
1923,0.14,North America,1923-06-01
1924,-0.36,North America,1924-06-01
1925,0.11,North America,1925-06-01
1926,-0.29,North America,1926-06-01
1927,-0.49,North America,1927-06-01
1928,-0.62,North America,1928-06-01
1929,-0.57,North America,1929-06-01
1930,0.07,North America,1930-06-01
1931,0.57,North America,1931-06-01
1932,0.29,North America,1932-06-01
1933,0.13,North America,1933-06-01
1934,0.09,North America,1934-06-01
1935,-0.44,North America,1935-06-01
1936,0.49,North America,1936-06-01
1937,0.57,North America,1937-06-01
1938,0.23,North America,1938-06-01
1939,-0.08,North America,1939-06-01
1940,-0.34,North America,1940-06-01
1941,0.24,North America,1941-06-01
1942,-0.03,North America,1942-06-01
1943,-0.02,North America,1943-06-01
1944,0.12,North America,1944-06-01
1945,-0.9,North America,1945-06-01
1946,-0.3,North America,1946-06-01
1947,-0.79,North America,1947-06-01
1948,0.36,North America,1948-06-01
1949,-0.09,North America,1949-06-01
1950,-0.32,North America,1950-06-01
1951,-0.51,North America,1951-06-01
1952,0.55,North America,1952-06-01
1953,0.39,North America,1953-06-01
1954,0.2,North America,1954-06-01
1955,0,North America,1955-06-01
1956,0.11,North America,1956-06-01
1957,-0.06,North America,1957-06-01
1958,-0.06,North America,1958-06-01
1959,0.09,North America,1959-06-01
1960,0.24,North America,1960-06-01
1961,0.47,North America,1961-06-01
1962,0,North America,1962-06-01
1963,-0.13,North America,1963-06-01
1964,-0.46,North America,1964-06-01
1965,-0.82,North America,1965-06-01
1966,-0.11,North America,1966-06-01
1967,-0.37,North America,1967-06-01
1968,-0.24,North America,1968-06-01
1969,-0.76,North America,1969-06-01
1970,0.01,North America,1970-06-01
1971,0.43,North America,1971-06-01
1972,-0.39,North America,1972-06-01
1973,0.15,North America,1973-06-01
1974,-0.05,North America,1974-06-01
1975,0.17,North America,1975-06-01
1976,-0.14,North America,1976-06-01
1977,0.64,North America,1977-06-01
1978,-0.37,North America,1978-06-01
1979,-0.21,North America,1979-06-01
1980,0.26,North America,1980-06-01
1981,0.3,North America,1981-06-01
1982,-0.45,North America,1982-06-01
1983,0.14,North America,1983-06-01
1984,0.38,North America,1984-06-01
1985,-0.06,North America,1985-06-01
1986,0,North America,1986-06-01
1987,0.82,North America,1987-06-01
1988,1.04,North America,1988-06-01
1989,0.4,North America,1989-06-01
1990,0.9,North America,1990-06-01
1991,0.97,North America,1991-06-01
1992,-0.32,North America,1992-06-01
1993,-0.01,North America,1993-06-01
1994,0.93,North America,1994-06-01
1995,0.77,North America,1995-06-01
1996,0.7,North America,1996-06-01
1997,0.59,North America,1997-06-01
1998,0.95,North America,1998-06-01
1999,0.42,North America,1999-06-01
2000,-0.01,North America,2000-06-01
2001,0.48,North America,2001-06-01
2002,0.94,North America,2002-06-01
2003,0.33,North America,2003-06-01
2004,0.21,North America,2004-06-01
2005,0.83,North America,2005-06-01
2006,1.31,North America,2006-06-01
2007,0.79,North America,2007-06-01
2008,0.8,North America,2008-06-01
2009,0.13,North America,2009-06-01
2010,1.08,North America,2010-06-01
2011,0.85,North America,2011-06-01
2012,1.54,North America,2012-06-01
2013,1.33,North America,2013-06-01
2014,0.85,North America,2014-06-01
2015,1.37,North America,2015-06-01
2016,1.53,North America,2016-06-01
2017,0.98,North America,2017-06-01
2018,1.01,North America,2018-06-01
2019,0.79,North America,2019-06-01
2020,0.92,North America,2020-06-01
2021,1.78,North America,2021-06-01
2022,1.18,North America,2022-06-01
2023,1.27,North America,2023-06-01
1910,-0.21,Africa,1910-06-01
1911,-0.78,Africa,1911-06-01
1912,-0.05,Africa,1912-06-01
1913,-0.13,Africa,1913-06-01
1914,-0.04,Africa,1914-06-01
1915,-0.23,Africa,1915-06-01
1916,-0.49,Africa,1916-06-01
1917,-0.87,Africa,1917-06-01
1918,-0.79,Africa,1918-06-01
1919,-0.42,Africa,1919-06-01
1920,-0.33,Africa,1920-06-01
1921,-0.34,Africa,1921-06-01
1922,0.07,Africa,1922-06-01
1923,-0.02,Africa,1923-06-01
1924,0.33,Africa,1924-06-01
1925,-0.35,Africa,1925-06-01
1926,0.23,Africa,1926-06-01
1927,-0.03,Africa,1927-06-01
1928,0.04,Africa,1928-06-01
1929,-0.42,Africa,1929-06-01
1930,-0.15,Africa,1930-06-01
1931,0.25,Africa,1931-06-01
1932,0.01,Africa,1932-06-01
1933,-0.07,Africa,1933-06-01
1934,0.2,Africa,1934-06-01
1935,-0.08,Africa,1935-06-01
1936,-0.3,Africa,1936-06-01
1937,0.21,Africa,1937-06-01
1938,-0.26,Africa,1938-06-01
1939,-0.24,Africa,1939-06-01
1940,0.17,Africa,1940-06-01
1941,0.22,Africa,1941-06-01
1942,0.47,Africa,1942-06-01
1943,-0.44,Africa,1943-06-01
1944,0.2,Africa,1944-06-01
1945,-0.3,Africa,1945-06-01
1946,-0.26,Africa,1946-06-01
1947,0,Africa,1947-06-01
1948,-0.38,Africa,1948-06-01
1949,0.09,Africa,1949-06-01
1950,-0.01,Africa,1950-06-01
1951,-0.17,Africa,1951-06-01
1952,0.12,Africa,1952-06-01
1953,-0.4,Africa,1953-06-01
1954,-0.48,Africa,1954-06-01
1955,-0.25,Africa,1955-06-01
1956,-0.38,Africa,1956-06-01
1957,-0.23,Africa,1957-06-01
1958,-0.17,Africa,1958-06-01
1959,0.13,Africa,1959-06-01
1960,-0.04,Africa,1960-06-01
1961,0.16,Africa,1961-06-01
1962,-0.17,Africa,1962-06-01
1963,-0.07,Africa,1963-06-01
1964,-0.32,Africa,1964-06-01
1965,-0.43,Africa,1965-06-01
1966,0.09,Africa,1966-06-01
1967,-0.15,Africa,1967-06-01
1968,-0.64,Africa,1968-06-01
1969,0.38,Africa,1969-06-01
1970,0.13,Africa,1970-06-01
1971,-0.26,Africa,1971-06-01
1972,-0.26,Africa,1972-06-01
1973,0.45,Africa,1973-06-01
1974,0.08,Africa,1974-06-01
1975,-0.09,Africa,1975-06-01
1976,-0.26,Africa,1976-06-01
1977,0.07,Africa,1977-06-01
1978,-0.27,Africa,1978-06-01
1979,0.1,Africa,1979-06-01
1980,0.12,Africa,1980-06-01
1981,0.17,Africa,1981-06-01
1982,0.24,Africa,1982-06-01
1983,0.55,Africa,1983-06-01
1984,0,Africa,1984-06-01
1985,0.34,Africa,1985-06-01
1986,0.28,Africa,1986-06-01
1987,0.39,Africa,1987-06-01
1988,0.54,Africa,1988-06-01
1989,0.16,Africa,1989-06-01
1990,0.64,Africa,1990-06-01
1991,0.45,Africa,1991-06-01
1992,0.35,Africa,1992-06-01
1993,0.55,Africa,1993-06-01
1994,0.22,Africa,1994-06-01
1995,0.89,Africa,1995-06-01
1996,0.17,Africa,1996-06-01
1997,0.67,Africa,1997-06-01
1998,0.93,Africa,1998-06-01
1999,0.81,Africa,1999-06-01
2000,0.38,Africa,2000-06-01
2001,0.39,Africa,2001-06-01
2002,0.47,Africa,2002-06-01
2003,0.6,Africa,2003-06-01
2004,0.5,Africa,2004-06-01
2005,0.75,Africa,2005-06-01
2006,0.7,Africa,2006-06-01
2007,0.65,Africa,2007-06-01
2008,0.75,Africa,2008-06-01
2009,1.16,Africa,2009-06-01
2010,0.99,Africa,2010-06-01
2011,0.7,Africa,2011-06-01
2012,0.86,Africa,2012-06-01
2013,0.74,Africa,2013-06-01
2014,1.03,Africa,2014-06-01
2015,1.04,Africa,2015-06-01
2016,1.15,Africa,2016-06-01
2017,1.21,Africa,2017-06-01
2018,0.78,Africa,2018-06-01
2019,1.18,Africa,2019-06-01
2020,1.3,Africa,2020-06-01
2021,1.27,Africa,2021-06-01
2022,0.99,Africa,2022-06-01
2023,1.21,Africa,2023-06-01
